Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000270087	-	-	
ENSG00000270090	-	-	
ENSG00000270091	-	-	
ENSG00000270092	-	-	
ENSG00000270093	-	-	
ENSG00000270094	-	-	
ENSG00000270095	-	-	
ENSG00000270096	-	-	
ENSG00000270097	-	-	
ENSG00000270098	-	-	
ENSG00000270099	-	-	
ENSG00000270100	-	-	
ENSG00000270101	-	-	
ENSG00000270102	-	-	
ENSG00000270103	-	-	
ENSG00000270104	-	-	
ENSG00000270105	-	-	
ENSG00000270106	-	-	
ENSG00000270107	-	-	
ENSG00000270108	-	-	
ENSG00000270109	-	-	
ENSG00000270110	-	-	
ENSG00000270111	-	-	
ENSG00000270112	-	-	
ENSG00000270113	-	-	
ENSG00000270114	-	-	
ENSG00000270115	-	-	
ENSG00000270116	-	-	
ENSG00000270117	-	-	
ENSG00000270118	-	-	
ENSG00000270119	-	-	
ENSG00000270120	-	-	
ENSG00000270123	-	-	
ENSG00000270124	-	-	
ENSG00000270127	-	-	
ENSG00000270130	-	-	
ENSG00000270131	-	-	
ENSG00000270132	-	-	
ENSG00000270133	-	-	
ENSG00000270134	-	-	
ENSG00000270135	-	-	
ENSG00000270136	-	-	
ENSG00000270137	-	-	
ENSG00000270139	-	-	
ENSG00000270140	-	-	
ENSG00000270141	-	-	
ENSG00000270143	-	-	
ENSG00000270145	-	-	
ENSG00000270147	-	-	
ENSG00000270149	-	-	
ENSG00000270154	-	-	
ENSG00000270157	-	-	
ENSG00000270159	LOC101928557	-	
ENSG00000270160	-	-	
ENSG00000270163	-	-	
ENSG00000270164	LINC01480	-	
ENSG00000270165	-	-	
ENSG00000270166	-	-	
ENSG00000270168	-	-	
ENSG00000270169	-	-	
ENSG00000270170	NCBP2AS2	KRASIM; NCBP2-AS2; HIAR	
ENSG00000270171	-	-	
ENSG00000270172	-	-	
ENSG00000270173	-	-	
ENSG00000270174	LOC101927950	-	
ENSG00000270175	-	-	
ENSG00000270177	-	-	
ENSG00000270178	-	-	
ENSG00000270179	-	-	
ENSG00000270181	BIVM-ERCC5	ERCC5-202	
ENSG00000270182	-	-	
ENSG00000270184	-	-	
ENSG00000270185	-	-	
ENSG00000270187	-	-	
ENSG00000270188	-	-	
ENSG00000270189	-	-	
ENSG00000270190	-	-	
ENSG00000270191	-	-	
ENSG00000270192	-	-	
ENSG00000270193	-	-	
ENSG00000270194	GOLGA4-AS1	-	
ENSG00000270195	-	-	
ENSG00000270196	-	-	
ENSG00000270200	-	-	
ENSG00000270202	-	-	
ENSG00000270204	-	-	
ENSG00000270207	-	-	
ENSG00000270209	-	-	
ENSG00000270210	-	-	
ENSG00000270212	-	-	
ENSG00000270213	-	-	
ENSG00000270218	-	-	
ENSG00000270222	-	-	
ENSG00000270223	-	-	
ENSG00000270225	-	-	
ENSG00000270226	-	-	
ENSG00000270228	-	-	
ENSG00000270230	-	-	
ENSG00000270232	-	-	
ENSG00000270234	-	-	
ENSG00000270235	-	-	
ENSG00000270236	-	-	
ENSG00000270237	-	-	
ENSG00000270239	-	-	
ENSG00000270241	-	-	
ENSG00000270242	-	-	
ENSG00000270243	-	-	
ENSG00000270244	-	-	
ENSG00000270246	-	-	
ENSG00000270248	-	-	
ENSG00000270249	-	-	
ENSG00000270251	-	-	
ENSG00000270252	-	-	
ENSG00000270255	-	-	
ENSG00000270257	-	-	
ENSG00000270258	-	-	
ENSG00000270259	-	-	
ENSG00000270264	-	-	
ENSG00000270265	-	-	
ENSG00000270268	-	-	
ENSG00000270269	-	-	
ENSG00000270270	-	-	
ENSG00000270273	-	-	
ENSG00000270275	-	-	
ENSG00000270277	-	-	
ENSG00000270279	-	-	
ENSG00000270280	-	-	
ENSG00000270281	-	-	
ENSG00000270282	-	-	
ENSG00000270285	-	-	
ENSG00000270287	-	-	
ENSG00000270289	-	-	
ENSG00000270292	-	-	
ENSG00000270293	-	-	
ENSG00000270294	-	-	
ENSG00000270296	-	-	
ENSG00000270299	-	-	
ENSG00000270300	-	-	
ENSG00000270301	-	-	
ENSG00000270302	-	-	
ENSG00000270304	-	-	
ENSG00000270306	-	-	
ENSG00000270307	-	-	
ENSG00000270308	-	-	
ENSG00000270313	-	-	
ENSG00000270314	-	-	
ENSG00000270316	-	-	
ENSG00000270317	-	-	
ENSG00000270318	-	-	
ENSG00000270321	-	-	
ENSG00000270322	-	-	
ENSG00000270323	-	-	
ENSG00000270324	-	-	
ENSG00000270325	-	-	
ENSG00000270326	-	-	
ENSG00000270328	-	-	
ENSG00000270330	-	-	
ENSG00000270332	SMC2-DT	SMC2-AS1	
ENSG00000270333	-	-	
ENSG00000270335	-	-	
ENSG00000270336	-	-	
ENSG00000270342	-	-	
ENSG00000270343	-	-	
ENSG00000270344	-	-	
ENSG00000270346	-	-	
ENSG00000270347	-	-	
ENSG00000270350	-	-	
ENSG00000270352	-	-	
ENSG00000270354	-	-	
ENSG00000270356	-	-	
ENSG00000270359	-	-	
ENSG00000270361	-	-	
ENSG00000270362	HMGN3-AS1	-	
ENSG00000270367	-	-	
ENSG00000270369	-	-	
ENSG00000270371	-	-	
ENSG00000270372	-	-	
ENSG00000270375	-	-	
ENSG00000270377	-	-	
ENSG00000270378	-	-	
ENSG00000270380	-	-	
ENSG00000270381	-	-	
ENSG00000270382	-	-	
ENSG00000270385	-	-	
ENSG00000270386	-	-	
ENSG00000270387	-	-	
ENSG00000270388	-	-	
ENSG00000270390	-	-	
ENSG00000270393	-	-	
ENSG00000270394	-	-	
ENSG00000270395	-	-	
ENSG00000270397	-	-	
ENSG00000270399	-	-	
ENSG00000270400	-	-	
ENSG00000270401	-	-	
ENSG00000270402	-	-	
ENSG00000270403	-	-	
ENSG00000270405	-	-	
ENSG00000270408	-	-	
ENSG00000270409	-	-	
ENSG00000270411	-	-	
ENSG00000270412	-	-	
ENSG00000270413	-	-	
ENSG00000270415	-	-	
ENSG00000270416	-	-	
ENSG00000270419	CAHM	LINC00468	
ENSG00000270421	-	-	
ENSG00000270422	-	-	
ENSG00000270423	-	-	
ENSG00000270424	-	-	
ENSG00000270425	-	-	
ENSG00000270426	-	-	
ENSG00000270427	-	-	
ENSG00000270429	-	-	
ENSG00000270430	-	-	
ENSG00000270431	-	-	
ENSG00000270432	-	-	
ENSG00000270433	-	-	
ENSG00000270434	-	-	
ENSG00000270435	-	-	
ENSG00000270437	-	-	
