Ensembl gene ID	Previous symbol	Alias symbol	Approved symbol
ENSG00000131473		ATPCL	ACLY
ENSG00000131473		CLATP	ACLY
ENSG00000131473		ACL	ACLY
			ACMG
ENSG00000153086			ACMSD
ENSG00000227411	BAATP1		ACNATP
ENSG00000122729	IREB1	IRP1	ACO1
ENSG00000122729	IREB1	IREBP	ACO1
ENSG00000100412		ACONM	ACO2
ENSG00000102794	IRG1	CAD	ACOD1
ENSG00000184227		ACH2	ACOT1
ENSG00000184227		CTE-1	ACOT1
ENSG00000184227		LACH2	ACOT1
ENSG00000119673		Mte1	ACOT2
ENSG00000119673		ZAP128	ACOT2
ENSG00000177465		FLJ31235	ACOT4
ENSG00000177465		PTE-Ib	ACOT4
ENSG00000177465		PTE2B	ACOT4
ENSG00000205669	C14orf42		ACOT6
ENSG00000097021		BACH	ACOT7
ENSG00000097021		ACH1	ACOT7
ENSG00000097021		ACT	ACOT7
ENSG00000097021		CTE-II	ACOT7
ENSG00000097021		LACH1	ACOT7
ENSG00000097021		MGC1126	ACOT7
ENSG00000097021		hBACH	ACOT7
ENSG00000101473	PTE1	hACTE-III	ACOT8
ENSG00000101473	PTE1	hTE	ACOT8
ENSG00000101473	PTE1	PTE-2	ACOT8
ENSG00000101473	PTE1	NAP1	ACOT8
ENSG00000123130		CGI-16	ACOT9
ENSG00000123130		MT-ACT48	ACOT9
ENSG00000123130		ACATE2	ACOT9
ENSG00000162390	THEA	STARD14	ACOT11
ENSG00000162390	THEA	BFIT	ACOT11
ENSG00000162390	THEA	KIAA0707	ACOT11
ENSG00000162390	THEA	BFIT1	ACOT11
ENSG00000162390	THEA	THEM1	ACOT11
ENSG00000172497		Cach	ACOT12
ENSG00000172497		THEAL	ACOT12
ENSG00000172497		STARD15	ACOT12
ENSG00000112304	THEM2	HT012	ACOT13
ENSG00000161533		PALMCOX	ACOX1
ENSG00000168306		BRCACOX	ACOX2
ENSG00000168306		BRCOX	ACOX2
ENSG00000168306		THCCox	ACOX2
ENSG00000087008			ACOX3
ENSG00000153093		FLJ11042	ACOXL
ENSG00000204581			ACOXL-AS1
ENSG00000143727		HAAP	ACP1
ENSG00000143727		LMW-PTP	ACP1
ENSG00000143727		LMWPTP	ACP1
ENSG00000134575		LAP	ACP2
ENSG00000014257	ACPP	ACP-3	ACP3
ENSG00000014257	ACPP	PAP	ACP3
ENSG00000014257	ACPP	TM-PAP	ACP3
ENSG00000142513	ACPT		ACP4
ENSG00000102575		TRAP	ACP5
ENSG00000102575		HPAP	ACP5
ENSG00000162836		LPAP	ACP6
ENSG00000162836		ACPL1	ACP6
ENSG00000183760		FLJ16165	ACP7
ENSG00000183760		PAPL1	ACP7
ENSG00000183760		PAPL	ACP7
ENSG00000100312			ACR
ENSG00000111644		SP32	ACRBP
ENSG00000111644		OY-TES-1	ACRBP
ENSG00000111644		CT23	ACRBP
ENSG00000175509			ACRP1
ENSG00000134940		SPACA2	ACRV1
ENSG00000134940		SP-10	ACRV1
ENSG00000134940		D11S4365	ACRV1
ENSG00000103740		BGM	ACSBG1
ENSG00000103740		FLJ30320	ACSBG1
ENSG00000103740		MGC14352	ACSBG1
ENSG00000103740		BG1	ACSBG1
ENSG00000103740		KIAA0631	ACSBG1
ENSG00000103740		hBG1	ACSBG1
ENSG00000103740		hsBG	ACSBG1
ENSG00000130377		BGR	ACSBG2
ENSG00000130377		PRTD-NY3	ACSBG2
ENSG00000130377		DKFZp434K1635	ACSBG2
ENSG00000167107		FLJ20920	ACSF2
ENSG00000167107		ACSMW	ACSF2
ENSG00000176715			ACSF3
ENSG00000151726	FACL2	LACS2	ACSL1
ENSG00000151726	FACL2	LACS	ACSL1
ENSG00000151726	FACL2	ACS1	ACSL1
ENSG00000151726	FACL2	LACS1	ACSL1
ENSG00000151726	FACL2	FACL1	ACSL1
ENSG00000123983	FACL3	ACS3	ACSL3
ENSG00000123983	FACL3	PRO2194	ACSL3
ENSG00000234193			ACSL3-AS1
ENSG00000068366	FACL4	ACS4	ACSL4
ENSG00000068366	MRX63	ACS4	ACSL4
ENSG00000068366	MRX68	ACS4	ACSL4
ENSG00000068366	FACL4	LACS4	ACSL4
ENSG00000068366	MRX63	LACS4	ACSL4
ENSG00000068366	MRX68	LACS4	ACSL4
ENSG00000197142	FACL5	ACS5	ACSL5
ENSG00000197142	FACL5	ACS2	ACSL5
ENSG00000164398	FACL6	KIAA0837	ACSL6
ENSG00000164398	FACL6	ACS2	ACSL6
ENSG00000164398	FACL6	LACS5	ACSL6
ENSG00000164398	FACL6	LACS2	ACSL6
ENSG00000223548			ACSL6-AS1
ENSG00000166743	BUCS1	MACS1	ACSM1
ENSG00000183747	ACSM2	A-923A4.1	ACSM2A
ENSG00000183747	ACSM2	MGC150530	ACSM2A
ENSG00000066813	ACSM2	HXMA	ACSM2B
ENSG00000066813	ACSM2	HYST1046	ACSM2B
ENSG00000005187	SAH	SA	ACSM3
ENSG00000215009			ACSM4
ENSG00000183549		FLJ20581	ACSM5
ENSG00000260762			ACSM5P1
ENSG00000173124	C10orf129	bA310E22.3	ACSM6
ENSG00000154930	ACAS2L	dJ568C11.3	ACSS1
ENSG00000154930	ACAS2L	AceCS2L	ACSS1
ENSG00000154930	ACAS2L	MGC33843	ACSS1
ENSG00000131069	ACAS2	ACS	ACSS2
ENSG00000131069	ACAS2	ACSA	ACSS2
ENSG00000131069	ACAS2	AceCS	ACSS2
ENSG00000131069	ACAS2	dJ1161H23.1	ACSS2
ENSG00000111058		FLJ21963	ACSS3
ENSG00000143632	ACTA	NEM3	ACTA1
ENSG00000107796		ACTSA	ACTA2
ENSG00000180139		uc001kfo.1	ACTA2-AS1
ENSG00000180139		ZXF1	ACTA2-AS1
ENSG00000180139		UC001kfo	ACTA2-AS1
ENSG00000075624			ACTB
ENSG00000169067		DKFZp686D0972	ACTBL2
ENSG00000229145			ACTBP1
ENSG00000213763			ACTBP2
			ACTBP3
ENSG00000286676			ACTBP4
			ACTBP5
ENSG00000203413			ACTBP6
